DD.Enter.A,3060,DD.Enter.Tab,501,DD.o.%,1638,DD.Backspace.%,113,DD.Enter.Tab,729,DD.%.Enter,1335,DD.Enter.A,443,DD.Enter.A,351,DD.Enter.A,497,DD.Backspace.%,565,DD.Enter.A,542,DD.Enter.A,330,DD.Enter.A,439,DD.Enter.A,595,DD.Enter.A,338,DD.Enter.A,274,DD.A.Backspace,63,DD.Enter.A,534,DD.Enter.A,266,DD.Enter.A,260,DD.Enter.A,493,DD.Enter.A,275,DD.Enter.A,407,DD.o.%,208,DD.Enter.A,265,DD.Enter.A,229,DD.Enter.A,274,DD.Enter.m,315,DD.o.%,171,DD.Enter.A,275,DD.Enter.A,533,DD.Enter.A,261,DD.Enter.A,253,DD.Enter.A,676,,
UD.Enter.A,2967,UD.Enter.Tab,388,UD.o.%,1511,UD.Backspace.%,4,UD.Enter.Tab,564,UD.%.Enter,1233,UD.Enter.A,345,UD.Enter.A,233,UD.Enter.A,421,UD.Backspace.%,437,UD.Enter.A,445,UD.Enter.A,228,UD.Enter.A,337,UD.Enter.A,510,UD.Enter.A,210,UD.Enter.A,156,UD.A.Backspace,48,UD.Enter.A,431,UD.Enter.A,153,UD.Enter.A,164,UD.Enter.A,381,UD.Enter.A,146,UD.Enter.A,306,UD.o.%,95,UD.Enter.A,195,UD.Enter.A,112,UD.Enter.A,178,UD.Enter.m,213,UD.o.%,48,UD.Enter.A,178,UD.Enter.A,425,UD.Enter.A,148,UD.Enter.A,135,UD.Enter.A,536,,
,,,,H.%,155,H.%,96,,,H.Enter,128,,,,,,,H.%,86,,,,,,,,,,,,,H.Backspace,59,,,,,,,,,,,,,H.%,91,,,,,,,,,H.%,81,,,,,,,,,H.A,92,,
,,,,DD.%.Tab,1018,DD.%.Enter,272,,,DD.Enter.A,380,,,,,,,DD.%.Enter,118,,,,,,,,,,,,,DD.Backspace.Enter,434,,,,,,,,,,,,,DD.%.Enter,190,,,,,,,,,DD.%.Enter,124,,,,,,,,,DD.A.Enter,1473,,
,,,,UD.%.Tab,863,UD.%.Enter,176,,,UD.Enter.A,252,,,,,,,UD.%.Enter,32,,,,,,,,,,,,,UD.Backspace.Enter,375,,,,,,,,,,,,,UD.%.Enter,99,,,,,,,,,UD.%.Enter,43,,,,,,,,,UD.A.Enter,1381,,
,,,,H.Tab,112,H.Enter,92,,,,,,,,,,,H.Enter,102,,,,,,,,,,,,,H.Enter,81,,,,,,,,,,,,,H.Enter,112,,,,,,,,,H.Enter,102,,,,,,,,,H.Enter,139,,
,,,,DD.Tab.Backspace,941,DD.Enter.A,1010,,,,,,,,,,,DD.Enter.A,318,,,,,,,,,,,,,DD.Enter.A,256,,,,,,,,,,,,,DD.Enter.A,277,,,,,,,,,DD.Enter.A,248,,,,,,,,,,1203,,
,,,,UD.Tab.Backspace,829,UD.Enter.A,918,,,,,,,,,,,UD.Enter.A,216,,,,,,,,,,,,,UD.Enter.A,175,,,,,,,,,,,,,UD.Enter.A,165,,,,,,,,,UD.Enter.A,146,,,,,,,,,,1064,,
,,,,H.Backspace,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DD.Backspace.Enter,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UD.Backspace.Enter,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,H.Enter,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DD.Enter.A,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UD.Enter.A,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
